Product Name,Price
GUIXIA Tws Wireless Bluetooth Headsets Earphones Inpods12,KSh 349
Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,KSh 527
Solar Street Light Flood Light Outdoor,KSh 846
Hikers Fridge 138Liters Double Door Refrigerator RF138L-Silver,"KSh 26,999"
Kids Jacket Hoodies Sun Protection Clothing Sweatshirt With Zipper Cardigan,KSh 190
Fashion Women Shoes Sandals Heels Ladies Shoes Casual Shoes,KSh 889
Deliya Hair Blow dry hair dryer 2200W Hair Dryer+6 Gifts,"KSh 1,470"
Men Wallets Pocket Wallet- Brown,KSh 350
Fashion Men Leather Loafers & Slip-Ons,KSh 727
Fashion 2 In1 Watch Fashion Rhinestone Wrist Watch For Ladies+ Bracelet Watch-Beige,KSh 499
RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 419
Starlink Standard Actuated Kit,"KSh 39,500"
Qwen Aluminum Alloy Laptop Stand Computer Stand,KSh 560
Qwen 64GB Flash Disks USB Flash Drive High Speed,KSh 699
LED 2.4G Rechargeable Wireless Mouse,KSh 470
UWY 128GB Pendrive Flash  Drive Metal High Speed,KSh 630
Qwen Memory Card 64GB High Speed C10,KSh 599
RichRipple Portable Plastic Laptop Stand 10-hole Adjustable Foldable Ipad Computer Stand,KSh 368
"HP BRAND NEW HpSpectre X360 14-ef2025na 13TH GEN Core i7 16gb, 1TB SSD,13.5, Win 11 Nightfall Black (6M WRTY)","KSh 250,000"
HP Refurbished 210 Intel Core I5 - 4GB RAM - 509GB HDD - Touchscreen Silver And Black (6 Months WRTY),"KSh 17,680"
"HP Refurbished 16GB RAM, Fast Speed 256GB SSD EliteBook 8460p, Intel Core I5, 14'' Windows 11 PRO Activated, Office & Basic software Installed + FREE WIRELESS MOUSE","KSh 22,500"
"Apple MacBook Air (2017) 13.3"" Intel Core I7 2.2GHz / 8GB / 256GB REFURBISHED","KSh 50,000"
"HP Refurbished Elitebook 820  Core  I5, 8GB RAM 500GB  HDD -12.5"", Black","KSh 19,499"
